"Segment","Area_km2","DU","Year","Attainment"
"ANATF_DC",3.18607307805,"MSN",1985,0
"ANATF_MD",0.220444298005,"MSN",1985,0
"APPTF",8.01161109738,"MSN",1985,1
"BACOH",16.175353828,"MSN",1985,1
"BIGMH",29.064783902,"MSN",1985,1
"BIGMH1",25.9379303683,"MSN",1985,NA
"BIGMH2",3.1268535337,"MSN",1985,NA
"BOHOH",11.9276357937,"MSN",1985,1
"BSHOH",30.5426953902,"MSN",1985,1
"C&DOH_DE",1.06981825234,"MSN",1985,1
"C&DOH_MD",2.49600957707,"MSN",1985,1
"CB1TF",151.6209412867,"MSN",1985,1
"CB1TF1",49.3689989917,"MSN",1985,NA
"CB1TF2",102.251942295,"MSN",1985,NA
"CB2OH",275.239534609,"MSN",1985,1
"CB3MH",361.585742353,"MSN",1985,0
"CB4MH",908.847238557,"MSN",1985,NA
"CB5MH_MD",920.485016307,"MSN",1985,NA
"CB5MH_VA",554.138332357,"MSN",1985,NA
"CB6PH",743.349060347,"MSN",1985,NA
"CB7PH",1520.77661607,"MSN",1985,NA
"CB8PH",412.427729018,"MSN",1985,NA
"CHKOH",27.9692705972,"MSN",1985,1
"CHOMH1",242.057252929,"MSN",1985,1
"CHOMH2",74.2001171401,"MSN",1985,1
"CHOOH",15.0376490018,"MSN",1985,1
"CHOTF",8.90618058165,"MSN",1985,1
"CHSMH",119.290257976,"MSN",1985,1
"CHSOH",14.7905368951,"MSN",1985,1
"CHSTF",4.08401551985,"MSN",1985,1
"CRRMH",23.4836069424,"MSN",1985,1
"EASMH",234.544096065,"MSN",1985,1
"EBEMH",5.77443940416,"MSN",1985,NA
"ELIPH",21.1526819021,"MSN",1985,NA
"ELKOH",37.27000428015,"MSN",1985,1
"ELKOH1",31.0227076169,"MSN",1985,NA
"ELKOH2",6.24729666325,"MSN",1985,NA
"FSBMH",83.5055497405,"MSN",1985,1
"GUNOH",41.5971244488,"MSN",1985,1
"GUNOH1",22.9367906542,"MSN",1985,NA
"GUNOH2",18.6603337946,"MSN",1985,NA
"HNGMH",97.7191868419,"MSN",1985,NA
"JMSMH",304.24105616,"MSN",1985,1
"JMSOH",127.749035571,"MSN",1985,1
"JMSPH",76.5619000153,"MSN",1985,NA
"JMSTF1",73.9844902512,"MSN",1985,0
"JMSTF2",21.3173558988,"MSN",1985,1
"LAFMH",5.75090847064,"MSN",1985,NA
"LCHMH",89.573498991,"MSN",1985,NA
"LYNPH",19.6071761165,"MSN",1985,NA
"MAGMH",26.5306737174,"MSN",1985,1
"MANMH",60.7889172715,"MSN",1985,1
"MANMH1",51.6400494168,"MSN",1985,NA
"MANMH2",9.1488678547,"MSN",1985,NA
"MATTF",7.28089456688,"MSN",1985,1
"MIDOH",16.2140696845,"MSN",1985,1
"MOBPH",342.697690424,"MSN",1985,NA
"MPNOH",7.952138502,"MSN",1985,0
"MPNTF",9.2802439777,"MSN",1985,1
"NANMH",48.3577889708,"MSN",1985,1
"NANOH",16.4553301193,"MSN",1985,1
"NANTF_DE",3.44982191355,"MSN",1985,1
"NANTF_MD",1.15864092595,"MSN",1985,1
"NORTF",15.817688769,"MSN",1985,1
"PATMH",93.6046301936,"MSN",1985,0
"PAXMH",107.5359184718,"MSN",1985,0
"PAXMH1",83.145424318,"MSN",1985,NA
"PAXMH2",15.5166098279,"MSN",1985,NA
"PAXMH3",2.40735686402,"MSN",1985,NA
"PAXMH4",2.5047114203,"MSN",1985,NA
"PAXMH5",3.43008200378,"MSN",1985,NA
"PAXMH6",0.5317340378,"MSN",1985,NA
"PAXOH",14.2434559408,"MSN",1985,1
"PAXTF",4.4086217845,"MSN",1985,1
"PIAMH",69.7741768909,"MSN",1985,1
"PISTF",3.70899693257,"MSN",1985,1
"PMKOH",14.0938065446,"MSN",1985,0
"PMKTF",16.2259785075,"MSN",1985,0
"POCMH_MD",52.0824437581,"MSN",1985,1
"POCMH_VA",138.776863795,"MSN",1985,1
"POCOH_MD",6.45538609683,"MSN",1985,1
"POCOH_VA",7.3661146597,"MSN",1985,1
"POCTF",3.99887081045,"MSN",1985,1
"POTMH_MD",804.203957084,"MSN",1985,0
"POTMH_VA",83.6606950009,"MSN",1985,0
"POTOH_VA",21.0193182988,"MSN",1985,0
"POTOH1_MD",175.075248648,"MSN",1985,1
"POTOH2_MD",7.72440178035,"MSN",1985,0
"POTOH3_MD",11.1447226587,"MSN",1985,0
"POTTF_DC",13.2877163153,"MSN",1985,1
"POTTF_MD",92.9893611612,"MSN",1985,1
"POTTF_VA",44.1580223128,"MSN",1985,0
"RHDMH",9.11056246868,"MSN",1985,1
"RPPMH",323.83067856,"MSN",1985,1
"RPPOH",19.5365297273,"MSN",1985,1
"RPPTF",36.5033099553,"MSN",1985,1
"SASOH",33.0857121098,"MSN",1985,1
"SASOH1",21.326638507,"MSN",1985,NA
"SASOH2",11.7590736028,"MSN",1985,NA
"SBEMH",8.39295815709,"MSN",1985,NA
"SEVMH",29.387340879,"MSN",1985,1
"SOUMH",23.9803810386,"MSN",1985,0
